game_id,date_time,status,round_number,season_name,season_id,competition_name,competition_id,competition_area,short_name,gender,birthday,first_name,last_name,player_id,trackable_object,role_acronym,role_name,role_id,number,team_id,start_time,end_time,goal,red_card,injured,own_goal,team_player_id,tec_id,tec_created_at
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,T. Minamino,male,1995-01-16,Takumi,Minamino,11773,11879,CF,Center Forward,15,18,2,01:22:54,,0,0,false,0,23626,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,O. Norwood,male,1991-04-12,Oliver,Norwood,12505,12657,SUB,Substitute,17,16,746,,,0,0,false,0,15718,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,N. Williams,male,2001-04-13,Neco,Williams,24614,25648,SUB,Substitute,17,76,2,,,0,0,false,0,23530,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,Fabinho,male,1993-10-23,Fábio Henrique,Tavares,3257,3267,RCB,Right Center Back,4,3,2,00:00:00,,0,0,false,0,6534,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,Diogo Jota,male,1996-12-04,Diogo José,Teixeira da Silva,2766,2776,RW,Right Winger,13,20,2,00:00:00,01:22:54,1,0,false,0,33986,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,Mohamed Salah,male,1992-06-15,Mohamed ,Salah Ghaly,7735,7745,CF,Center Forward,15,11,2,00:00:00,,0,0,false,0,4828,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,A. Ramsdale,male,1998-05-14,Aaron,Ramsdale,14040,14237,GK,Goalkeeper,0,1,746,00:00:00,,0,0,false,0,33625,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,Adrián,male,1987-01-03,Adrián,San Miguel del Castillo,264,274,SUB,Substitute,17,13,2,,,0,0,false,0,20243,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,J. Gomez,male,1997-05-23,Joe,Gomez,11475,11537,LCB,Left Center Back,3,12,2,00:00:00,,0,0,false,0,4825,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,S. Berge,male,1998-02-14,Sander Gard,Bolin Berge,12029,12140,RM,Right Midfield,10,8,746,00:00:00,,1,0,false,0,23831,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,N. Phillips,male,1997-03-21,Nathaniel,Phillips,12084,12225,SUB,Substitute,17,47,2,,,0,0,false,0,6539,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,D. McGoldrick,male,1987-11-29,David,McGoldrick,18534,18731,LM,Left Midfield,9,17,746,01:15:33,,0,0,false,0,15719,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,B. Osborn,male,1994-08-05,Ben,Osborn,18566,18763,LWB,Left Wing Back,5,23,746,00:00:00,,0,0,false,0,20265,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,O. Burke,male,1997-04-07,Oliver,Burke,18651,18848,CF,Center Forward,15,14,746,00:54:01,,0,0,false,0,33628,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,R. Brewster,male,2000-04-01,Rhian Joel,Brewster,12172,12315,CF,Center Forward,15,24,746,00:00:00,00:54:01,0,0,false,0,34676,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,G. Wijnaldum,male,1990-11-11,Georginio,Wijnaldum,3837,3847,LM,Left Midfield,9,5,2,00:00:00,,0,0,false,0,4086,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,O. McBurnie,male,1996-06-04,Oliver,McBurnie,13074,13254,RF,Right Forward,16,9,746,00:00:00,,0,0,false,0,20266,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,J. Henderson,male,1990-06-17,Jordan,Henderson,5308,5318,RM,Right Midfield,10,14,2,00:00:00,,0,0,false,0,1088,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,B. Sharp,male,1986-02-05,Billy,Sharp,18531,18728,SUB,Substitute,17,10,746,,,0,0,false,0,15713,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,J. Lundstram,male,1994-02-18,John ,Lundstram,18529,18726,LM,Left Midfield,9,7,746,00:00:00,01:15:33,0,0,false,0,15711,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,Alisson,male,1992-10-02,Alisson Ramsés,Becker,11499,11565,GK,Goalkeeper,0,1,2,00:00:00,,0,0,false,0,6530,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,M. Verrips,male,1996-12-03,Michael,Verrips,24459,25480,SUB,Substitute,17,21,746,,,0,0,false,0,23167,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,A. Robertson,male,1994-03-11,Andrew,Robertson,841,851,LWB,Left Wing Back,5,26,2,00:00:00,,0,0,false,0,5532,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,P. Jagielka,male,1982-08-17,Phil,Jagielka,8655,8665,SUB,Substitute,17,15,746,,,0,0,false,0,20262,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,G. Baldock,male,1993-03-09,George,Baldock,18527,18724,RWB,Right Wing Back,6,2,746,00:00:00,,0,0,false,0,15706,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,X. Shaqiri,male,1991-10-10,Xherdan,Shaqiri,10936,10946,SUB,Substitute,17,23,2,,,0,0,false,0,6542,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,J. Milner,male,1986-01-04,James,Milner,4673,4683,LM,Left Midfield,9,7,2,01:22:54,,0,0,false,0,721,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,E. Stevens,male,1990-07-09,Enda,Stevens,3098,3108,LCB,Left Center Back,3,3,746,00:00:00,,0,0,false,0,15707,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,T. Alexander-Arnold,male,1998-10-07,Trent,Alexander-Arnold,11746,11847,RWB,Right Wing Back,6,66,2,00:00:00,,0,0,false,0,5529,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,Roberto Firmino,male,1991-10-02,Roberto Firmino,Barbosa de Oliveira,9133,9143,AM,Attacking Midfield,11,9,2,00:00:00,01:22:54,1,0,false,0,3966,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,C. Basham,male,1988-07-20,Chris,Basham,1780,1790,RCB,Right Center Back,4,6,746,00:00:00,,0,0,false,0,15710,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,J. Egan,male,1992-10-20,John,Egan,13017,13195,CB,Center Back,2,12,746,00:00:00,,0,0,false,0,15715,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,C. Jones,male,2001-01-30,Curtis,Jones,11754,11855,SUB,Substitute,17,17,2,,,0,0,false,0,5558,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,E. Ampadu,male,2000-09-14,Ethan,Ampadu,11632,11723,DM,Defensive Midfield,7,22,746,00:00:00,,0,0,false,0,33627,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,J. Robinson,male,1993-09-01,Jack,Robinson,4589,4599,SUB,Substitute,17,19,746,,,0,0,false,0,23832,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
10000,2020-10-24 19:00:00.000000 UTC,closed,6,2020/2021,7,Premier League,1,ENG,S. Mané,male,1992-04-10,Sadio,Mané,9439,9449,LW,Left Winger,12,10,2,00:00:00,,0,0,false,0,4087,6996720462261cfda8f9,2023-12-10 09:17:45.000000 UTC
